t=2022-12-19T23:17:38-0800 lvl=info msg="no configuration paths supplied"
t=2022-12-19T23:17:38-0800 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2022-12-19T23:17:38-0800 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2022-12-19T23:17:38-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-12-19T23:17:39-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-12-19T23:17:39-0800 lvl=info msg="client session established" obj=csess id=e86c2e29c65b
t=2022-12-19T23:17:39-0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://990e-123-21-127-80.ap.ngrok.io
t=2022-12-19T23:18:04-0800 lvl=info msg="join connections" obj=join id=79fbf4f45ee9 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:04-0800 lvl=info msg="join connections" obj=join id=6391956181e9 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=a8841ca788eb l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=6b9c8ce7ba28 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=2453fffa46ac l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=dcb00994fe06 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=d7010efee877 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=49e8013bb5b2 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=a1fd71352487 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:12-0800 lvl=info msg="join connections" obj=join id=bd0553a07802 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
